RK	NAME	TEAM	SALARY
317	Jarrett Allen, C	Brooklyn Nets	$1,713,720
318	Tyler Zeller, C	Brooklyn Nets	$1,709,538
319	Quincy Acy, SF	Brooklyn Nets	$1,709,538
320	Jordan Crawford, SG	New Orleans Pelicans	$1,709,538
321	Malik Beasley, SG	Denver Nuggets	$1,700,640
322	Delon Wright, PG	Toronto Raptors	$1,645,200
323	OG Anunoby, SF	Toronto Raptors	$1,645,200
324	Ante Zizic, PF	Cleveland Cavaliers	$1,645,200
325	Caris LeVert, SG	Brooklyn Nets	$1,632,480
326	Justin Anderson, SG	Philadelphia 76ers	$1,579,440
327	Tyler Lydon, PF	Denver Nuggets	$1,579,440
328	Shabazz Muhammad, SG	Minnesota Timberwolves	$1,577,230
329	Archie Goodwin, SG	Portland Trail Blazers	$1,577,230
330	Jeff Withey, C	Dallas Mavericks	$1,577,230
331	DeAndre' Bembry, SF	Atlanta Hawks	$1,567,200
332	Caron Butler, SF	Sacramento Kings	$1,551,659
333	Mitch McGary, PF	Oklahoma City Thunder	$1,526,040
334	Elijah Millsap, SG	Phoenix Suns	$1,524,305
335	Johnny O'Bryant III, PF	Charlotte Hornets	$1,524,305
336	Julyan Stone, PG	Charlotte Hornets	$1,524,305
337	Jerami Grant, SF	Oklahoma City Thunder	$1,524,305
338	Tyler Ennis, PG	Los Angeles Lakers	$1,524,305
339	Glenn Robinson III, SG	Indiana Pacers	$1,524,305
340	Bobby Portis, PF	Chicago Bulls	$1,516,320
341	Malachi Richardson, SG	Sacramento Kings	$1,504,560
342	Marcelo Huertas, PG	Houston Rockets	$1,500,000
343	Mike Scott, PF	Washington Wizards	$1,471,382
344	Mario Chalmers, PG	Memphis Grizzlies	$1,471,382
345	Jarell Martin, PF	Memphis Grizzlies	$1,471,382
346	KJ McDaniels, SG	Toronto Raptors	$1,471,382
347	Raul Neto, PG	Utah Jazz	$1,471,382
348	Anthony Morrow, SG	Portland Trail Blazers	$1,471,382
349	Pat Connaughton, SG	Portland Trail Blazers	$1,471,382
350	Nikola Jokic, C	Denver Nuggets	$1,471,382
351	Jeremy Evans, SF	Atlanta Hawks	$1,471,382
352	Caleb Swanigan, PF	Portland Trail Blazers	$1,465,920
353	Furkan Korkmaz, SG	Philadelphia 76ers	$1,465,920
354	Jordan Adams, SG	Memphis Grizzlies	$1,465,080
355	Richard Jefferson, SF	Denver Nuggets	$1,454,756
356	Willy Hernangomez, C	New York Knicks	$1,435,750
357	Jameer Nelson, PG	New Orleans Pelicans	$1,429,818
358	Kyle Kuzma, PF	Los Angeles Lakers	$1,423,560
359	Tony Bradley, C	Utah Jazz	$1,414,920
360	Isaiah Canaan, PG	Houston Rockets	$1,413,192
361	Derrick White, PG	San Antonio Spurs	$1,404,600
362	Josh Hart, SG	Los Angeles Lakers	$1,394,520
363	Timothe Luwawu-Cabarrot, SG	Philadelphia 76ers	$1,386,600
364	Josh Smith, PF	New Orleans Pelicans	$1,379,940
365	Guillermo Hernangomez, C	New York Knicks	$1,350,000
366	Sasha Kaun, C	Philadelphia 76ers	$1,333,240
367	Brice Johnson, PF	LA Clippers	$1,331,160
368	Daniel Ochefu, PF	Washington Wizards	$1,312,611
369	Andrew Harrison, SG	Memphis Grizzlies	$1,312,611
370	Wayne Selden, SG	Memphis Grizzlies	$1,312,611
371	Deyonta Davis, C	Memphis Grizzlies	$1,312,611
372	Kyle Wiltjer, F	Toronto Raptors	$1,312,611
373	Treveon Graham, SG	Charlotte Hornets	$1,312,611
374	Jake Layman, SF	Portland Trail Blazers	$1,312,611
375	Stephen Zimmerman, C	Los Angeles Lakers	$1,312,611
376	Skal Labissiere, PF	Sacramento Kings	$1,312,611
377	David Nwaba, PG	Chicago Bulls	$1,312,611
378	Isaiah Taylor, PG	Atlanta Hawks	$1,312,611
379	Semi Ojeleye, PF	Boston Celtics	$1,291,892
380	Livio Jean-Charles, SF	San Antonio Spurs	$1,188,840
381	Frank Mason III, PG	Sacramento Kings	$1,184,385
382	Abdel Nader, SF	Boston Celtics	$1,167,333
383	Damyean Dotson, SG	New York Knicks	$1,100,000
384	Tony Wroten, SG	Memphis Grizzlies	$1,050,961
385	John Jenkins, SG	Atlanta Hawks	$1,050,961
386	Wesley Iwundu, SF	Orlando Magic	$1,050,000
387	Anthony Bennett, PF	Phoenix Suns	$1,015,696
388	Andrew Goudelock, PG	Houston Rockets	$1,015,696
389	Terrence Jones, PF	Milwaukee Bucks	$980,431
390	Arinze Onuaku, PF	Orlando Magic	$980,431
391	Devyn Marble, SF	LA Clippers	$980,431
392	Chris Wright, SF	Oklahoma City Thunder	$980,431
393	Markel Brown, SG	Oklahoma City Thunder	$980,431
394	Lou Amundson, PF	New York Knicks	$980,431
